Marker1	Marker2	Correlation	Lower	Upper	t-statistic
hsa-miR-101	hsa-miR-1224-3p	0.386370	0.121034	0.600175	2.902223
hsa-miR-101	hsa-miR-1224-5p	0.736895	0.576867	0.842447	7.552221
hsa-miR-101	hsa-miR-1225-3p	0.572444	0.349835	0.733862	4.836927
hsa-miR-101	hsa-miR-1225-5p	0.193935	-0.089234	0.448098	1.369626
hsa-miR-101	hsa-miR-1226	0.483523	0.237079	0.671499	3.827062
hsa-miR-101	hsa-miR-1226*	0.593790	0.377897	0.748438	5.112841
hsa-miR-101	hsa-miR-1227	0.552853	0.324425	0.720352	4.596632
hsa-miR-101	hsa-miR-1228	0.355148	0.085220	0.576509	2.632126
hsa-miR-101	hsa-miR-1228*	0.802689	0.675195	0.883615	9.324626
hsa-miR-101	hsa-miR-1229	0.530109	0.295335	0.704506	4.331376
hsa-miR-101	hsa-miR-1231	0.897555	0.825424	0.940849	14.103901
hsa-miR-101	hsa-miR-1233	0.231304	-0.050286	0.478828	1.647193
hsa-miR-101	hsa-miR-1234	0.601572	0.388228	0.753715	5.217469
